Date,SP500,IBOV
2020-01-02,3257.85009765625,118573.0
2020-01-03,3234.85009765625,117707.0
2020-01-06,3246.280029296875,116878.0
2020-01-07,3237.179931640625,116662.0
2020-01-08,3253.050048828125,116247.0
2020-01-09,3274.699951171875,115947.0
2020-01-10,3265.35009765625,115503.0
2020-01-13,3288.1298828125,117325.0
2020-01-14,3283.14990234375,117632.0
2020-01-15,3289.2900390625,116414.0
2020-01-16,3316.81005859375,116704.0
2020-01-17,3329.6201171875,118478.0
2020-01-20,,118862.0
2020-01-21,3320.7900390625,117026.0
2020-01-22,3321.75,118391.0
2020-01-23,3325.5400390625,119528.0
2020-01-24,3295.469970703125,118376.0
2020-01-27,3243.6298828125,114482.0
2020-01-28,3276.239990234375,116479.0
2020-01-29,3273.39990234375,115385.0
2020-01-30,3283.659912109375,115528.0
2020-01-31,3225.52001953125,113761.0
2020-02-03,3248.919921875,114629.0
2020-02-04,3297.590087890625,115557.0
2020-02-05,3334.68994140625,116028.0
2020-02-06,3345.780029296875,115190.0
2020-02-07,3327.7099609375,113770.0
2020-02-10,3352.090087890625,112570.0
2020-02-11,3357.75,115371.0
2020-02-12,3379.449951171875,116674.0
2020-02-13,3373.93994140625,115662.0
2020-02-14,3380.159912109375,114381.0
2020-02-17,,115309.0
2020-02-18,3370.2900390625,114977.0
2020-02-19,3386.14990234375,116518.0
2020-02-20,3373.22998046875,114586.0
2020-02-21,3337.75,113681.0
2020-02-24,3225.889892578125,
2020-02-25,3128.2099609375,
2020-02-26,3116.389892578125,
2020-02-27,2978.760009765625,102984.0
2020-02-28,2954.219970703125,104172.0
2020-03-02,3090.22998046875,106625.0
2020-03-03,3003.3701171875,105537.0
2020-03-04,3130.1201171875,107224.0
2020-03-05,3023.93994140625,102233.0
2020-03-06,2972.3701171875,97997.0
2020-03-09,2746.56005859375,86067.0
2020-03-10,2882.22998046875,92214.0
2020-03-11,2741.3798828125,85171.0
2020-03-12,2480.639892578125,72583.0
2020-03-13,2711.02001953125,82678.0
2020-03-16,2386.1298828125,71168.0
2020-03-17,2529.18994140625,74617.0
2020-03-18,2398.10009765625,66895.0
2020-03-19,2409.389892578125,68332.0
2020-03-20,2304.919921875,67069.0
2020-03-23,2237.39990234375,63570.0
2020-03-24,2447.330078125,69729.0
2020-03-25,2475.56005859375,74956.0
2020-03-26,2630.070068359375,77710.0
2020-03-27,2541.469970703125,73429.0
2020-03-30,2626.64990234375,74640.0
2020-03-31,2584.590087890625,73020.0
2020-04-01,2470.5,70967.0
2020-04-02,2526.89990234375,72253.0
2020-04-03,2488.64990234375,69538.0
2020-04-06,2663.679931640625,74073.0
2020-04-07,2659.409912109375,76358.0
2020-04-08,2749.97998046875,78625.0
2020-04-09,2789.820068359375,77682.0
2020-04-13,2761.6298828125,78836.0
2020-04-14,2846.06005859375,79918.0
2020-04-15,2783.360107421875,78831.0
2020-04-16,2799.550048828125,77812.0
2020-04-17,2874.56005859375,78990.0
2020-04-20,2823.159912109375,78973.0
2020-04-21,2736.56005859375,
2020-04-22,2799.31005859375,80687.0
2020-04-23,2797.800048828125,79673.0
2020-04-24,2836.739990234375,75331.0
2020-04-27,2878.47998046875,78239.0
2020-04-28,2863.389892578125,81312.0
2020-04-29,2939.510009765625,83171.0
2020-04-30,2912.429931640625,80506.0
2020-05-01,2830.7099609375,
2020-05-04,2842.739990234375,78876.0
2020-05-05,2868.43994140625,79471.0
2020-05-06,2848.419921875,79064.0
2020-05-07,2881.18994140625,78119.0
2020-05-08,2929.800048828125,80263.0
2020-05-11,2930.18994140625,79065.0
2020-05-12,2870.1201171875,77872.0
2020-05-13,2820.0,77772.0
2020-05-14,2852.5,79011.0
2020-05-15,2863.699951171875,77557.0
2020-05-18,2953.909912109375,81194.0
2020-05-19,2922.93994140625,80742.0
2020-05-20,2971.610107421875,81319.0
2020-05-21,2948.510009765625,83027.0
2020-05-22,2955.449951171875,82173.0
2020-05-25,,85663.0
2020-05-26,2991.77001953125,85469.0
2020-05-27,3036.1298828125,87946.0
2020-05-28,3029.72998046875,86949.0
2020-05-29,3044.31005859375,87403.0
2020-06-01,3055.72998046875,88620.0
2020-06-02,3080.820068359375,91046.0
2020-06-03,3122.8701171875,93002.0
2020-06-04,3112.35009765625,93829.0
2020-06-05,3193.929931640625,94637.0
2020-06-08,3232.389892578125,97645.0
2020-06-09,3207.179931640625,96747.0
2020-06-10,3190.139892578125,94686.0
2020-06-11,3002.10009765625,
2020-06-12,3041.31005859375,92795.0
2020-06-15,3066.590087890625,92376.0
2020-06-16,3124.739990234375,93531.0
2020-06-17,3113.489990234375,95547.0
2020-06-18,3115.340087890625,96125.0
2020-06-19,3097.739990234375,96572.0
2020-06-22,3117.860107421875,95336.0
2020-06-23,3131.2900390625,95975.0
2020-06-24,3050.330078125,94377.0
2020-06-25,3083.760009765625,95983.0
2020-06-26,3009.050048828125,93834.0
2020-06-29,3053.239990234375,95735.0
2020-06-30,3100.2900390625,95056.0
2020-07-01,3115.860107421875,96203.0
2020-07-02,3130.010009765625,96235.0
2020-07-03,,96765.0
2020-07-06,3179.719970703125,98937.0
2020-07-07,3145.320068359375,97761.0
2020-07-08,3169.93994140625,99770.0
2020-07-09,3152.050048828125,99160.0
2020-07-10,3185.0400390625,100032.0
2020-07-13,3155.219970703125,98697.0
2020-07-14,3197.52001953125,100440.0
2020-07-15,3226.56005859375,101791.0
2020-07-16,3215.570068359375,100553.0
2020-07-17,3224.72998046875,102888.0
2020-07-20,3251.840087890625,104426.0
2020-07-21,3257.300048828125,104310.0
