data,IBOV,VALE3,PETR4,DOLAR
2020-02-27,102984.0,9.920000076293944,12.079999923706055,4.4491000175476065
2020-02-28,104172.0,9.81999969482422,12.100000381469727,4.484799861907959
2020-03-02,106625.0,10.270000457763672,12.489999771118164,4.441299915313722
2020-03-03,105537.0,10.220000267028807,12.15999984741211,4.472400188446045
2020-03-04,107224.0,10.5600004196167,12.329999923706055,4.513199806213379
2020-03-05,102233.0,10.119999885559082,11.739999771118164,4.583399772644043
2020-03-06,97997.0,9.529999732971193,10.520000457763672,4.606200218200684
2020-03-09,86067.0,7.96999979019165,7.260000228881836,4.589799880981445
2020-03-10,92214.0,9.399999618530273,8.010000228881836,4.722899913787842
2020-03-11,85171.0,8.5,6.8499999046325675,4.642099857330322
2020-03-12,72583.0,7.1599998474121085,5.449999809265137,4.813799858093262
2020-03-13,82678.0,8.699999809265138,6.579999923706055,4.790200233459473
2020-03-16,71168.0,7.9000000953674325,5.25,4.85260009765625
2020-03-17,74617.0,8.170000076293945,5.400000095367432,4.999000072479248
2020-03-18,66895.0,7.4000000953674325,4.309999942779541,5.009699821472168
2020-03-19,68332.0,7.179999828338622,5.059999942779541,5.103961944580078
2020-03-20,67069.0,6.980000019073486,4.849999904632568,5.094200134277344
2020-03-23,63570.0,6.579999923706055,4.460000038146973,5.045499801635742
2020-03-24,69729.0,7.5,5.429999828338623,5.14169979095459
2020-03-25,74956.0,8.039999961853027,5.800000190734862,5.098100185394287
2020-03-26,77710.0,8.319999694824219,5.809999942779541,5.033699989318848
2020-03-27,73429.0,7.8400001525878915,5.190000057220459,5.022600173950195
2020-03-30,74640.0,8.039999961853027,5.21999979019165,5.192699909210205
2020-03-31,73020.0,8.289999961853027,5.5,5.203499794006348
2020-04-01,70967.0,8.149999618530272,5.4099998474121085,5.248199939727783
2020-04-02,72253.0,8.149999618530272,5.809999942779541,5.255300045013428
2020-04-06,74073.0,8.109999656677246,6.139999866485597,5.285299777984619
2020-04-07,76358.0,8.380000114440918,6.320000171661378,5.221700191497803
2020-04-08,78625.0,8.439999580383299,6.809999942779541,5.123499870300293
2020-04-09,77682.0,8.5,6.71999979019165,5.105800151824951
2020-04-13,78836.0,8.569999694824219,6.710000038146973,5.198500156402588
2020-04-14,79918.0,8.590000152587889,6.679999828338622,5.162000179290772
2020-04-15,78831.0,8.260000228881836,6.320000171661378,5.236999988555908
2020-04-16,77812.0,8.130000114440918,6.139999866485597,5.2308998107910165
2020-04-20,78973.0,7.989999771118164,6.269999980926514,5.315400123596191
2020-04-22,80687.0,7.96999979019165,6.3400001525878915,5.456900119781494
2020-04-23,79673.0,7.860000133514403,6.309999942779541,5.533100128173828
2020-04-27,78239.0,7.880000114440918,6.0,5.652599811553955
2020-04-28,81312.0,8.109999656677246,6.559999942779541,5.497399806976318
2020-04-29,83171.0,8.760000228881836,7.139999866485597,5.334799766540527
2020-04-30,80506.0,8.25,6.9099998474121085,5.486000061035156
2020-05-04,78876.0,7.980000019073486,6.539999961853027,5.540599822998047
2020-05-05,79471.0,7.809999942779541,6.730000019073486,5.578100204467773
2020-05-06,79064.0,7.78000020980835,6.329999923706055,5.715199947357178
2020-05-07,78119.0,7.929999828338622,6.329999923706055,5.828719139099121
2020-05-11,79065.0,8.229999542236326,6.559999942779541,5.8171000480651855
2020-05-12,77872.0,8.100000381469728,6.460000038146973,5.8847999572753915
2020-05-13,77772.0,8.180000305175781,6.119999885559082,5.88640022277832
2020-05-14,79011.0,8.239999771118164,6.039999961853027,5.8094000816345215
2020-05-18,81194.0,9.010000228881836,6.8400001525878915,5.7189998626708975
2020-05-19,80742.0,9.06999969482422,6.71999979019165,5.755199909210205
2020-05-20,81319.0,9.270000457763672,6.989999771118164,5.690499782562256
2020-05-21,83027.0,9.130000114440918,7.179999828338622,5.5524001121521
2020-05-26,85469.0,9.109999656677246,7.610000133514403,5.343999862670898
2020-05-27,87946.0,9.56999969482422,7.8400001525878915,5.27269983291626
2020-05-28,86949.0,9.3100004196167,7.619999885559082,5.403600215911865
2020-06-01,88620.0,9.84000015258789,7.809999942779541,5.366499900817871
2020-06-02,91046.0,10.260000228881836,8.380000114440918,5.199299812316895
2020-06-03,93002.0,10.56999969482422,8.770000457763674,5.061600208282472
2020-06-04,93829.0,10.84000015258789,8.720000267028809,5.117199897766113
2020-06-08,97645.0,11.270000457763672,9.720000267028807,4.821599960327148
2020-06-09,96747.0,11.220000267028807,9.289999961853027,4.898399829864502
2020-06-10,94686.0,11.020000457763672,8.890000343322754,4.9721999168396
2020-06-15,92376.0,10.609999656677246,8.380000114440918,5.153206825256348
2020-06-16,93531.0,10.65999984741211,8.539999961853027,5.243599891662598
2020-06-17,95547.0,10.739999771118164,8.510000228881836,5.22790002822876
2020-06-18,96125.0,10.550000190734863,8.430000305175781,5.377200126647949
2020-06-22,95336.0,10.460000038146973,8.329999923706055,5.25190019607544
2020-06-23,95975.0,10.800000190734863,8.75,5.151000022888184
2020-06-24,94377.0,10.399999618530273,8.220000267028809,5.34660005569458
2020-06-25,95983.0,10.5600004196167,8.399999618530272,5.359499931335449
2020-06-29,95735.0,10.210000038146973,8.279999732971191,5.402100086212158
2020-06-30,95056.0,10.3100004196167,8.270000457763674,5.461699962615967
2020-07-01,96203.0,10.279999732971193,8.449999809265138,5.316199779510498
2020-07-02,96235.0,10.40999984741211,8.479999542236326,5.35890007019043
2020-07-06,98937.0,10.600000381469727,8.670000076293945,5.354300022125244
2020-07-07,97761.0,10.470000267028807,8.460000038146973,5.377799987792969
