Date,SP500,IBOV,YYYY-MM
2000-06-06,1457.8399658203125,15947.0,2000-06
2000-06-07,1471.3599853515625,16272.0,2000-06
2000-06-08,1461.6700439453125,16399.0,2000-06
2000-06-09,1456.949951171875,16342.0,2000-06
2000-06-12,1446.0,16097.0,2000-06
2000-06-13,1469.43994140625,16354.0,2000-06
2000-06-14,1470.5400390625,16366.0,2000-06
2000-06-15,1478.72998046875,16561.0,2000-06
2000-06-16,1464.4599609375,16425.0,2000-06
2000-06-19,1486.0,16850.0,2000-06
2000-06-20,1475.949951171875,16844.0,2000-06
2000-06-21,1479.1300048828125,17254.0,2000-06
2000-06-22,1452.1800537109375,,2000-06
2000-06-23,1441.47998046875,16977.0,2000-06
2000-06-26,1455.31005859375,16745.0,2000-06
2000-06-27,1450.550048828125,16512.0,2000-06
2000-06-28,1454.8199462890625,16842.0,2000-06
2000-06-29,1442.3900146484375,16407.0,2000-06
2000-06-30,1454.5999755859375,16728.0,2000-06
2000-07-03,1469.5400390625,17089.0,2000-07
2000-07-04,,17279.0,2000-07
2000-07-05,1446.22998046875,17135.0,2000-07
2000-07-06,1456.6700439453125,17348.0,2000-07
2000-07-07,1478.9000244140625,17599.0,2000-07
2000-07-10,1475.6199951171875,17472.0,2000-07
2000-07-11,1480.8800048828125,16881.0,2000-07
2000-07-12,1492.9200439453125,17053.0,2000-07
2000-07-13,1495.8399658203125,16444.0,2000-07
2000-07-14,1509.97998046875,16881.0,2000-07
2000-07-17,1510.489990234375,17388.0,2000-07
2000-07-18,1493.739990234375,17369.0,2000-07
2000-07-19,1481.9599609375,16928.0,2000-07
2000-07-20,1495.5699462890625,17204.0,2000-07
2000-07-21,1480.18994140625,17318.0,2000-07
2000-07-24,1464.2900390625,17386.0,2000-07
2000-07-25,1474.469970703125,17049.0,2000-07
2000-07-26,1452.4200439453125,17121.0,2000-07
2000-07-27,1449.6199951171875,16949.0,2000-07
2000-07-28,1419.8900146484375,16486.0,2000-07
2000-07-31,1430.8299560546875,16455.0,2000-07
2000-08-01,1438.0999755859375,16290.0,2000-08
2000-08-02,1438.699951171875,16314.0,2000-08
2000-08-03,1452.56005859375,16721.0,2000-08
2000-08-04,1462.9300537109375,16761.0,2000-08
2000-08-07,1479.3199462890625,16996.0,2000-08
2000-08-08,1482.800048828125,16885.0,2000-08
2000-08-09,1472.8699951171875,16534.0,2000-08
2000-08-10,1460.25,16835.0,2000-08
2000-08-11,1471.8399658203125,17395.0,2000-08
2000-08-14,1491.56005859375,17811.0,2000-08
2000-08-15,1484.4300537109375,17744.0,2000-08
2000-08-16,1479.8499755859375,17331.0,2000-08
2000-08-17,1496.0699462890625,17703.0,2000-08
2000-08-18,1491.719970703125,17314.0,2000-08
2000-08-21,1499.47998046875,17083.0,2000-08
2000-08-22,1498.1300048828125,17224.0,2000-08
2000-08-23,1505.969970703125,17450.0,2000-08
2000-08-24,1508.31005859375,17311.0,2000-08
2000-08-25,1506.449951171875,17643.0,2000-08
2000-08-28,1514.0899658203125,17460.0,2000-08
2000-08-29,1509.8399658203125,17355.0,2000-08
2000-08-30,1502.5899658203125,17414.0,2000-08
2000-08-31,1517.6800537109375,17347.0,2000-08
2000-09-01,1520.77001953125,17577.0,2000-09
2000-09-04,,17613.0,2000-09
2000-09-05,1507.0799560546875,17425.0,2000-09
2000-09-06,1492.25,17590.0,2000-09
2000-09-07,1502.510009765625,,2000-09
2000-09-08,1494.5,17433.0,2000-09
2000-09-11,1489.260009765625,17288.0,2000-09
2000-09-12,1481.989990234375,16883.0,2000-09
2000-09-13,1484.9100341796875,16999.0,2000-09
2000-09-14,1480.8699951171875,16769.0,2000-09
2000-09-15,1465.81005859375,16563.0,2000-09
2000-09-18,1444.510009765625,15913.0,2000-09
2000-09-19,1459.9000244140625,16188.0,2000-09
2000-09-20,1451.3399658203125,16078.0,2000-09
2000-09-21,1449.050048828125,16146.0,2000-09
2000-09-22,1448.719970703125,16353.0,2000-09
2000-09-25,1439.030029296875,16319.0,2000-09
2000-09-26,1427.2099609375,16255.0,2000-09
2000-09-27,1426.5699462890625,15848.0,2000-09
2000-09-28,1458.2900390625,16014.0,2000-09
2000-09-29,1436.510009765625,15928.0,2000-09
2000-10-02,1436.22998046875,15559.0,2000-10
2000-10-03,1426.4599609375,15633.0,2000-10
2000-10-04,1434.3199462890625,15876.0,2000-10
2000-10-05,1436.280029296875,16362.0,2000-10
2000-10-06,1408.989990234375,15946.0,2000-10
2000-10-09,1402.030029296875,15855.0,2000-10
2000-10-10,1387.02001953125,15747.0,2000-10
2000-10-11,1364.5899658203125,15526.0,2000-10
2000-10-12,1329.780029296875,,2000-10
2000-10-13,1374.1700439453125,15385.0,2000-10
2000-10-16,1374.6199951171875,15242.0,2000-10
2000-10-17,1349.969970703125,14870.0,2000-10
2000-10-18,1342.1300048828125,14421.0,2000-10
2000-10-19,1388.760009765625,14845.0,2000-10
2000-10-20,1396.9300537109375,14529.0,2000-10
2000-10-23,1395.780029296875,13990.0,2000-10
2000-10-24,1398.1300048828125,13799.0,2000-10
2000-10-25,1364.9000244140625,13665.0,2000-10
2000-10-26,1364.43994140625,14223.0,2000-10
2000-10-27,1379.5799560546875,14692.0,2000-10
2000-10-30,1398.6600341796875,14891.0,2000-10
2000-10-31,1429.4000244140625,14867.0,2000-10
2000-11-01,1421.219970703125,14791.0,2000-11
2000-11-02,1428.3199462890625,,2000-11
2000-11-03,1426.68994140625,14534.0,2000-11
2000-11-06,1432.18994140625,14801.0,2000-11
2000-11-07,1431.8699951171875,14969.0,2000-11
2000-11-08,1409.280029296875,14656.0,2000-11
2000-11-09,1400.1400146484375,14524.0,2000-11
2000-11-10,1365.97998046875,14626.0,2000-11
2000-11-13,1351.260009765625,14372.0,2000-11
2000-11-14,1382.949951171875,14540.0,2000-11
2000-11-15,1389.81005859375,,2000-11
2000-11-16,1372.3199462890625,14490.0,2000-11
2000-11-17,1367.719970703125,14323.0,2000-11
2000-11-20,1342.6199951171875,14500.0,2000-11
2000-11-21,1347.3499755859375,14784.0,2000-11
2000-11-22,1322.3599853515625,14577.0,2000-11
2000-11-23,,14314.0,2000-11
2000-11-24,1341.77001953125,14336.0,2000-11
2000-11-27,1348.969970703125,14008.0,2000-11
2000-11-28,1336.0899658203125,13914.0,2000-11
2000-11-29,1341.9300537109375,13788.0,2000-11
2000-11-30,1314.949951171875,13287.0,2000-11
2000-12-01,1315.22998046875,13437.0,2000-12
2000-12-04,1324.969970703125,13510.0,2000-12
2000-12-05,1376.5400390625,14182.0,2000-12
2000-12-06,1351.4599609375,13945.0,2000-12
2000-12-07,1343.550048828125,14460.0,2000-12
2000-12-08,1369.8900146484375,14983.0,2000-12
2000-12-11,1380.199951171875,15188.0,2000-12
2000-12-12,1371.1800537109375,14906.0,2000-12
2000-12-13,1359.989990234375,15291.0,2000-12
2000-12-14,1340.9300537109375,15259.0,2000-12
2000-12-15,1312.1500244140625,14988.0,2000-12
2000-12-18,1322.739990234375,15083.0,2000-12
2000-12-19,1305.5999755859375,15336.0,2000-12
2000-12-20,1264.739990234375,14622.0,2000-12
2000-12-21,1274.8599853515625,14505.0,2000-12
2000-12-22,1305.949951171875,14652.0,2000-12
2000-12-26,1315.18994140625,14795.0,2000-12
2000-12-27,1328.9200439453125,15186.0,2000-12
2000-12-28,1334.219970703125,15259.0,2000-12
2000-12-29,1320.280029296875,,2000-12
2001-01-02,1283.27001953125,15425.0,2001-01
2001-01-03,1347.56005859375,16599.0,2001-01
2001-01-04,1333.3399658203125,16675.0,2001-01
2001-01-05,1298.3499755859375,16410.0,2001-01
2001-01-08,1295.8599853515625,16562.0,2001-01
2001-01-09,1300.800048828125,16976.0,2001-01
2001-01-10,1313.27001953125,16919.0,2001-01
2001-01-11,1326.8199462890625,17024.0,2001-01
2001-01-12,1318.550048828125,16850.0,2001-01
2001-01-15,,16963.0,2001-01
2001-01-16,1326.6500244140625,16721.0,2001-01
2001-01-17,1329.469970703125,17191.0,2001-01
2001-01-18,1347.969970703125,17521.0,2001-01
2001-01-19,1342.5400390625,17530.0,2001-01
2001-01-22,1342.9000244140625,17392.0,2001-01
2001-01-23,1360.4000244140625,17832.0,2001-01
2001-01-24,1364.300048828125,17772.0,2001-01
2001-01-25,1357.510009765625,,2001-01
2001-01-26,1354.949951171875,17889.0,2001-01
2001-01-29,1364.1700439453125,17883.0,2001-01
2001-01-30,1373.72998046875,17723.0,2001-01
2001-01-31,1366.010009765625,17673.0,2001-01
2001-02-01,1373.469970703125,17039.0,2001-02
2001-02-02,1349.469970703125,16915.0,2001-02
2001-02-05,1354.31005859375,16731.0,2001-02
2001-02-06,1352.260009765625,17007.0,2001-02
2001-02-07,1340.8900146484375,16812.0,2001-02
2001-02-08,1332.530029296875,17243.0,2001-02
2001-02-09,1314.760009765625,17138.0,2001-02
2001-02-12,1330.31005859375,16917.0,2001-02
2001-02-13,1318.800048828125,17096.0,2001-02
2001-02-14,1315.9200439453125,17120.0,2001-02
2001-02-15,1326.6099853515625,16937.0,2001-02
2001-02-16,1301.530029296875,16259.0,2001-02
2001-02-19,,16061.0,2001-02
2001-02-20,1278.93994140625,15911.0,2001-02
2001-02-21,1255.27001953125,15594.0,2001-02
2001-02-22,1252.8199462890625,15910.0,2001-02
2001-02-23,1245.8599853515625,16158.0,2001-02
2001-02-26,1267.6500244140625,,2001-02
2001-02-27,1257.93994140625,,2001-02
2001-02-28,1239.93994140625,15891.0,2001-02
2001-03-01,1241.22998046875,16417.0,2001-03
2001-03-02,1234.1800537109375,16581.0,2001-03
2001-03-05,1241.4100341796875,16537.0,2001-03
2001-03-06,1253.800048828125,16324.0,2001-03
2001-03-07,1261.8900146484375,16395.0,2001-03
2001-03-08,1264.739990234375,16227.0,2001-03
2001-03-09,1233.4200439453125,16123.0,2001-03
2001-03-12,1180.1600341796875,15527.0,2001-03
2001-03-13,1197.6600341796875,15584.0,2001-03
2001-03-14,1166.7099609375,15245.0,2001-03
2001-03-15,1173.56005859375,15061.0,2001-03
2001-03-16,1150.530029296875,15237.0,2001-03
2001-03-19,1170.81005859375,14836.0,2001-03
2001-03-20,1142.6199951171875,14903.0,2001-03
2001-03-21,1122.1400146484377,14853.0,2001-03
2001-03-22,1117.5799560546877,14067.0,2001-03
2001-03-23,1139.8299560546875,14435.0,2001-03
2001-03-26,1152.68994140625,14712.0,2001-03
2001-03-27,1182.1700439453125,14835.0,2001-03
2001-03-28,1153.2900390625,14632.0,2001-03
2001-03-29,1147.949951171875,14282.0,2001-03
2001-03-30,1160.3299560546875,14438.0,2001-03
2001-04-02,1145.8699951171875,13981.0,2001-04
2001-04-03,1106.4599609375,13737.0,2001-04
2001-04-04,1103.25,13855.0,2001-04
2001-04-05,1151.43994140625,14443.0,2001-04
2001-04-06,1128.4300537109375,14485.0,2001-04
2001-04-09,1137.5899658203125,14719.0,2001-04
2001-04-10,1168.3800048828125,15048.0,2001-04
2001-04-11,1165.8900146484375,14819.0,2001-04
2001-04-12,1183.5,14969.0,2001-04
2001-04-16,1179.6800537109375,14445.0,2001-04
2001-04-17,1191.81005859375,14337.0,2001-04
2001-04-18,1238.1600341796875,14955.0,2001-04
2001-04-19,1253.68994140625,14431.0,2001-04
2001-04-20,1242.97998046875,13696.0,2001-04
2001-04-23,1224.3599853515625,13893.0,2001-04
2001-04-24,1209.469970703125,14068.0,2001-04
2001-04-25,1228.75,14163.0,2001-04
2001-04-26,1234.52001953125,14757.0,2001-04
2001-04-27,1253.050048828125,14928.0,2001-04
2001-04-30,1249.4599609375,14918.0,2001-04
2001-05-01,1266.43994140625,,2001-05
2001-05-02,1267.4300537109375,14897.0,2001-05
2001-05-03,1248.5799560546875,15142.0,2001-05
2001-05-04,1266.6099853515625,15093.0,2001-05
2001-05-07,1263.510009765625,14875.0,2001-05
2001-05-08,1261.199951171875,14747.0,2001-05
2001-05-09,1255.5400390625,14779.0,2001-05
2001-05-10,1255.1800537109375,14993.0,2001-05
2001-05-11,1245.6700439453125,14493.0,2001-05
2001-05-14,1248.9200439453125,14237.0,2001-05
2001-05-15,1249.43994140625,14226.0,2001-05
2001-05-16,1284.989990234375,14714.0,2001-05
2001-05-17,1288.489990234375,14794.0,2001-05
2001-05-18,1291.9599609375,14884.0,2001-05
2001-05-21,1312.8299560546875,15128.0,2001-05
2001-05-22,1309.3800048828125,14829.0,2001-05
2001-05-23,1289.050048828125,14692.0,2001-05
2001-05-24,1293.1700439453125,14523.0,2001-05
2001-05-25,1277.8900146484375,14310.0,2001-05
2001-05-28,,14302.0,2001-05
2001-05-29,1267.9300537109375,14454.0,2001-05
2001-05-30,1248.0799560546875,14489.0,2001-05
2001-05-31,1255.8199462890625,14650.0,2001-05
2001-06-01,1260.6700439453125,14792.0,2001-06
2001-06-04,1267.1099853515625,15104.0,2001-06
2001-06-05,1283.5699462890625,15395.0,2001-06
2001-06-06,1270.030029296875,15329.0,2001-06
2001-06-07,1276.9599609375,15464.0,2001-06
2001-06-08,1264.9599609375,15366.0,2001-06
2001-06-11,1254.3900146484375,15224.0,2001-06
2001-06-12,1255.8499755859375,15173.0,2001-06
2001-06-13,1241.5999755859375,15403.0,2001-06
2001-06-14,1219.8699951171875,,2001-06
2001-06-15,1214.3599853515625,14985.0,2001-06
2001-06-18,1208.4300537109375,14355.0,2001-06
2001-06-19,1212.5799560546875,14401.0,2001-06
2001-06-20,1223.1400146484375,14571.0,2001-06
2001-06-21,1237.0400390625,14823.0,2001-06
2001-06-22,1225.3499755859375,14682.0,2001-06
2001-06-25,1218.5999755859375,14540.0,2001-06
2001-06-26,1216.760009765625,14460.0,2001-06
2001-06-27,1211.0699462890625,14308.0,2001-06
2001-06-28,1226.199951171875,14391.0,2001-06
2001-06-29,1224.3800048828125,14560.0,2001-06
2001-07-02,1236.719970703125,14555.0,2001-07
2001-07-03,1234.449951171875,14353.0,2001-07
